Facility Name,geometry,SA2_CODE21,SA2_NAME21
Clarke/Station Reserve,POINT (307912.3274312086 5820182.853476183),213011334,St Albans - North
Cowley Street,POINT (303427.6685980138 5823505.654225193),213011331,Delahey
Cowper Avenue Reserve,POINT (308071.4399653949 5820528.414294891),213011334,St Albans - North
Cromwell Road Reserve,POINT (303591.76121319656 5820971.057524707),213011333,Kings Park (Vic.)
Davitt Reserve,POINT (303026.8496451664 5818203.207155326),213011569,Deer Park
Delahey Emerald Park,POINT (303074.3014916807 5822719.564558361),213011331,Delahey
Driscolls Road Reserve,POINT (308492.1372057373 5821357.46854905),213011332,Keilor Downs
Duke Street Reserve,POINT (310576.8717216568 5817288.232552152),213011337,Sunshine North
Elford Court Green,POINT (305606.27888843475 5818004.784340071),213011329,Cairnlea
Evergreen Reserve,POINT (303061.4711319054 5820099.908945886),213011333,Kings Park (Vic.)
Glenmaggie Drive Reserve,POINT (306984.5129290393 5818066.841689222),213011335,St Albans - South
Hammerwood Avenue Reserve,POINT (303642.3820740202 5815575.561627552),213011570,Derrimut
Harefield Crescent Reserve,POINT (308246.37686638423 5821054.758663058),213011332,Keilor Downs
International Gardens Reserve,POINT (304892.913357056 5821647.92530497),213011334,St Albans - North
Keilor Basketball Stadium,POINT (310336.6023144879 5823811.239477285),210011228,Keilor
Keilor Downs Recreation Reserve,POINT (305852.82345128397 5822548.599702985),213011332,Keilor Downs
Keilor Lodge Reserve,POINT (304043.56224396464 5826446.615663882),213011340,Taylors Lakes
Sydenham Primary School,POINT (302539.0649515153 5824841.90999634),213011339,Sydenham
West Sunshine Community Centre,POINT (307380.75535745797 5814265.156113185),213011338,Sunshine West
Brimbank Park,POINT (309411.6188211801 5821907.369276902),210011228,Keilor
Carrington Reserve,POINT (307198.3462415439 5817343.944183286),213011328,Ardeer - Albion
Carrington Drive Block,POINT (306917.21959364536 5817470.814457886),213011328,Ardeer - Albion
Max Bowman Gymnasium,POINT (310085.0139058804 5815985.551639818),213011336,Sunshine
Keilor Downs Primary School,POINT (306826.075933808 5823295.131348873),213011332,Keilor Downs
St Albans East Primary School,POINT (307098.86326474394 5820494.387424477),213011334,St Albans - North
Arthur Beachley Reserve,POINT (308402.70977852587 5814458.672539539),213011336,Sunshine
Calder Rise Neighbourhood Park,POINT (308102.02486414043 5823435.600400832),210011228,Keilor
Loyd Reserve,POINT (308227.9146762662 5818116.536244554),213011337,Sunshine North
Deer Park Hall,POINT (304010.96862265514 5816993.785957816),213011569,Deer Park
Glengala Community Centre,POINT (307750.31447175983 5815208.887176109),213011338,Sunshine West
Old Shire Hall,POINT (309054.4718640254 5823142.27105646),210011228,Keilor
St Albans Community Youth Club,POINT (307497.1273118352 5820123.981298953),213011334,St Albans - North
Urban Force Studio,POINT (308551.2763684471 5820789.050550895),213011332,Keilor Downs
Westvale Community Centre,POINT (304387.2863202268 5821011.843720434),213011333,Kings Park (Vic.)
Anytime Fitness Keilor Downs,POINT (306704.68563969457 5822178.56266731),213011332,Keilor Downs
Brimbank Sports Centre,POINT (306188.4267613206 5819958.633075431),213011335,St Albans - South
Callaway Boulevard,POINT (305698.4410828619 5814742.997252787),213011338,Sunshine West
Callaway Bvd/Mekong Cl Reserve,POINT (306109.9704521597 5814706.51657459),213011338,Sunshine West
Capesthorne Drive Reserve,POINT (302869.2456253134 5814677.253399224),213011570,Derrimut
Curves Taylors Lakes,POINT (306704.68563969457 5822178.56266731),213011332,Keilor Downs
Fenix Fitness Taylors Lakes,POINT (303770.81362694624 5825121.877444418),213011340,Taylors Lakes
Fernwood Gym,POINT (303129.7752932782 5825641.007465707),213011339,Sydenham
Fernwood Women's Health Clubs,POINT (313447.3242502393 5825132.706505364),210051250,Tullamarine
Focus Health & Fitness,POINT (313544.42878319067 5825332.630908981),210051250,Tullamarine
Goodlife Health Clubs Taylors Lakes,POINT (303799.24921130197 5825068.703541575),213011340,Taylors Lakes
Health Club 101,POINT (305862.1841205783 5820285.931056259),213011335,St Albans - South
Holmewood Avenue Park,POINT (302553.1258850759 5816358.7116179075),213011569,Deer Park
Isabella Williams Reserve,POINT (302501.4660999396 5819384.672729817),213011569,Deer Park
Kaye's Unique Toning,POINT (305141.08351382 5824301.739394048),213011340,Taylors Lakes
Kieser Training,POINT (303128.07521647774 5825649.405276474),213011339,Sydenham
Kore Wellness & Swim School,POINT (305859.1305693092 5824998.600698801),213011340,Taylors Lakes
Platinum Health & Pilates,POINT (308708.04113694 5816313.618260521),213011336,Sunshine
Run With Me Fitness Club Sunshine West,POINT (305399.3185926016 5814977.5314375395),213011338,Sunshine West
Samurai Karate Sunshine,POINT (309223.45748167124 5815576.365161058),213011336,Sunshine
St Albans Campus Fitness Centre,POINT (306023.94924353797 5819331.665856236),213011335,St Albans - South
St Albans Leisure Centre,POINT (306559.7214139841 5822072.684568886),213011332,Keilor Downs
Sunshine Swim & Leisure Centre,POINT (309354.7035949804 5815878.73660274),213011336,Sunshine
The Lakes Health & Fitness Centre,POINT (306142.4261332225 5824843.267639055),213011340,Taylors Lakes
Victorian University Fitness Centre,POINT (306023.94924353797 5819331.665856236),213011335,St Albans - South
